DATE,DPRIME,DTWEXBGS,GVZCLS,HQMCB10YRP,HQMCB10YR,OVXCLS,STLFSI4,T5YIE,T10Y2Y,TB3MS,VIXCLS,AAA,DEXUSEU,SP500
01-07-2014,3.25,94.0398,19.12,3.95,4.2,19.67,-0.6173,1.83,2.56,0.04,12.92,4.49,1.3618,1837.88
01-08-2014,3.25,94.2181,19.43,3.95,4.2,20.17,-0.6173,1.76,2.58,0.04,12.87,4.49,1.3586,1837.49
01-09-2014,3.25,94.3299,18.46,3.95,4.2,19.51,-0.6173,1.83,2.53,0.04,12.89,4.49,1.3591,1838.13
01-10-2014,3.25,94.0045,17.27,3.95,4.2,19.47,-0.6782,1.75,2.49,0.04,12.14,4.49,1.3664,1842.37
1/13/2014,3.25,93.899,16.67,3.95,4.2,19.75,-0.6782,1.71,2.45,0.04,13.28,4.49,1.3647,1819.2
1/14/2014,3.25,94.0303,16.5,3.95,4.2,19.81,-0.6782,1.76,2.49,0.04,12.28,4.49,1.3682,1838.88
1/15/2014,3.25,94.341,16.43,3.95,4.2,18.7,-0.6782,1.72,2.49,0.04,12.28,4.49,1.3604,1848.38
1/16/2014,3.25,94.5507,15.39,3.95,4.2,17.91,-0.6782,1.74,2.45,0.04,12.53,4.49,1.36,1845.89
1/17/2014,3.25,94.5846,14.34,3.95,4.2,17.12,-0.6708,1.72,2.44,0.04,12.44,4.49,1.3554,1838.7
1/21/2014,3.25,94.679,15.97,3.95,4.2,18.26,-0.6708,1.71,2.45,0.04,12.87,4.49,1.356,1843.8
1/22/2014,3.25,94.8479,15.62,3.95,4.2,18.17,-0.6708,1.79,2.43,0.04,12.84,4.49,1.3546,1844.86
1/23/2014,3.25,94.8415,16.01,3.95,4.2,18.79,-0.6708,1.72,2.4,0.04,13.77,4.49,1.368,1828.46
1/24/2014,3.25,94.8555,17.54,3.95,4.2,19.46,-0.5844,1.68,2.38,0.04,18.14,4.49,1.368,1790.29
1/27/2014,3.25,94.9059,18.38,3.95,4.2,20.89,-0.5844,1.72,2.41,0.04,17.42,4.49,1.3679,1781.56
1/28/2014,3.25,94.88,18.71,3.95,4.2,20.83,-0.5844,1.71,2.39,0.04,15.8,4.49,1.3662,1792.5
1/29/2014,3.25,94.8621,17.45,3.95,4.2,20.81,-0.5844,1.72,2.33,0.04,17.35,4.49,1.3663,1774.2
1/30/2014,3.25,95.1294,17.97,3.95,4.2,19.76,-0.5844,1.76,2.36,0.04,17.29,4.49,1.3549,1794.19
1/31/2014,3.25,95.1774,18.62,3.95,4.2,20.35,-0.3958,1.72,2.33,0.04,18.41,4.49,1.35,1782.59
02-03-2014,3.25,95.2469,19.15,3.81,4.05,21.65,-0.3958,1.7,2.31,0.05,21.44,4.45,1.3523,1741.89
02-04-2014,3.25,95.0438,18.51,3.81,4.05,21.47,-0.3958,1.77,2.33,0.05,19.11,4.45,1.3507,1755.2
02-05-2014,3.25,95.0285,18.52,3.81,4.05,20.65,-0.3958,1.78,2.38,0.05,19.95,4.45,1.3519,1751.64
02-06-2014,3.25,94.7177,17.93,3.81,4.05,19.65,-0.3958,1.82,2.4,0.05,17.23,4.45,1.3604,1773.43
02-07-2014,3.25,94.7457,16.59,3.81,4.05,19.03,-0.4054,1.77,2.41,0.05,15.29,4.45,1.3614,1797.02
02-10-2014,3.25,94.7189,17.08,3.81,4.05,19.18,-0.4054,1.79,2.38,0.05,15.26,4.45,1.3644,1799.84
02-11-2014,3.25,94.6377,16.81,3.81,4.05,19.05,-0.4054,1.8,2.4,0.05,14.51,4.45,1.3654,1819.75
02-12-2014,3.25,94.6209,16.23,3.81,4.05,19.23,-0.4054,1.83,2.45,0.05,14.3,4.45,1.3592,1819.26
2/14/2014,3.25,94.2711,16.26,3.81,4.05,17.95,-0.752,1.67,2.43,0.05,13.57,4.45,1.369,1838.63
2/18/2014,3.25,94.1934,16.28,3.81,4.05,18.43,-0.752,1.79,2.4,0.05,13.87,4.45,1.3758,1840.76
2/19/2014,3.25,94.38,16.48,3.81,4.05,18.35,-0.752,1.78,2.4,0.05,15.5,4.45,1.3762,1828.75
2/20/2014,3.25,94.6571,16.07,3.81,4.05,17.59,-0.752,1.78,2.42,0.05,14.79,4.45,1.369,1839.78
2/24/2014,3.25,94.4042,15.94,3.81,4.05,18.16,-0.6326,1.78,2.4,0.05,14.23,4.45,1.3744,1847.61
2/25/2014,3.25,94.4735,15.86,3.81,4.05,18.47,-0.6326,1.78,2.36,0.05,13.67,4.45,1.3749,1845.12
2/26/2014,3.25,94.7754,16.46,3.81,4.05,18.48,-0.6326,1.76,2.34,0.05,14.35,4.45,1.3668,1845.16
2/27/2014,3.25,94.6722,15.75,3.81,4.05,18.81,-0.6326,1.81,2.32,0.05,14.04,4.45,1.3724,1854.29
2/28/2014,3.25,94.3879,16.07,3.81,4.05,18.71,-0.6774,1.79,2.33,0.05,14,4.45,1.3806,1859.45
03-04-2014,3.25,94.6568,16.75,3.78,4,19.88,-0.6774,1.79,2.37,0.05,14.1,4.38,1.3731,1873.91
03-05-2014,3.25,94.4679,16.58,3.78,4,20.29,-0.6774,1.8,2.37,0.05,13.89,4.38,1.3734,1873.81
03-06-2014,3.25,93.9858,16.31,3.78,4,19.96,-0.6774,1.84,2.37,0.05,14.21,4.38,1.3848,1877.03
03-07-2014,3.25,94.2532,15.82,3.78,4,20.01,-0.6823,1.83,2.42,0.05,14.11,4.38,1.3868,1878.04
03-10-2014,3.25,94.3731,15.83,3.78,4,20.33,-0.6823,1.88,2.42,0.05,14.2,4.38,1.388,1877.17
03-11-2014,3.25,94.387,16.14,3.78,4,20.67,-0.6823,1.86,2.4,0.05,14.8,4.38,1.3867,1867.63
03-12-2014,3.25,94.462,16.67,3.78,4,20.9,-0.6823,1.82,2.36,0.05,14.47,4.38,1.3904,1868.2
3/13/2014,3.25,94.1872,17.3,3.78,4,20.83,-0.6823,1.75,2.32,0.05,16.22,4.38,1.3927,1846.34
3/14/2014,3.25,94.243,18.32,3.78,4,21.7,-0.6324,1.74,2.29,0.05,17.82,4.38,1.3924,1841.13
3/18/2014,3.25,94.2631,17.37,3.78,4,20.25,-0.6324,1.77,2.32,0.05,14.52,4.38,1.3913,1872.25
3/19/2014,3.25,94.3752,17.59,3.78,4,19.88,-0.6324,1.73,2.31,0.05,15.12,4.38,1.391,1860.77
3/20/2014,3.25,94.9986,16.91,3.78,4,19.69,-0.6324,1.75,2.34,0.05,14.52,4.38,1.3784,1872.01
3/21/2014,3.25,94.8547,16.43,3.78,4,19.46,-0.6715,1.79,2.3,0.05,15,4.38,1.3783,1866.52
3/24/2014,3.25,94.759,17.53,3.78,4,19.52,-0.6715,1.79,2.27,0.05,15.09,4.38,1.3784,1857.44
3/25/2014,3.25,94.6379,17.16,3.78,4,19.19,-0.6715,1.7,2.28,0.05,14.02,4.38,1.3777,1865.62
3/26/2014,3.25,94.5281,17.32,3.78,4,19.17,-0.6715,1.75,2.26,0.05,14.93,4.38,1.3786,1852.56
3/27/2014,3.25,94.3315,17.6,3.78,4,19.28,-0.6715,1.73,2.24,0.05,14.62,4.38,1.3752,1849.04
3/28/2014,3.25,94.3683,17.48,3.78,4,19.15,-0.6602,1.72,2.28,0.05,14.41,4.38,1.3753,1857.62
3/31/2014,3.25,94.2432,17.37,3.78,4,19.26,-0.6602,1.7,2.29,0.05,13.88,4.38,1.3777,1872.34
04-01-2014,3.25,94.1244,16.65,3.71,3.91,19.61,-0.6602,1.71,2.33,0.03,13.1,4.24,1.3804,1885.52
04-02-2014,3.25,94.3103,16.19,3.71,3.91,19.79,-0.6602,1.72,2.35,0.03,13.09,4.24,1.3761,1890.9
04-03-2014,3.25,94.512,16.01,3.71,3.91,18.45,-0.6602,1.68,2.34,0.03,13.37,4.24,1.3708,1888.77
04-04-2014,3.25,94.2191,15.81,3.71,3.91,18.28,-0.6683,1.71,2.31,0.03,13.96,4.24,1.3704,1865.09
04-07-2014,3.25,94.0881,15.95,3.71,3.91,18.64,-0.6683,1.61,2.3,0.03,15.57,4.24,1.3745,1845.04
04-08-2014,3.25,93.6579,15.99,3.71,3.91,18.89,-0.6683,1.71,2.29,0.03,14.89,4.24,1.3802,1851.96
04-09-2014,3.25,93.6716,14.83,3.71,3.91,18.55,-0.6683,1.7,2.34,0.03,13.82,4.24,1.3816,1872.18
04-10-2014,3.25,93.5123,15.06,3.71,3.91,18.72,-0.6683,1.69,2.28,0.03,15.89,4.24,1.3892,1833.08
04-11-2014,3.25,93.6395,15.19,3.71,3.91,18.39,-0.5426,1.64,2.26,0.03,17.03,4.24,1.3898,1815.69
4/14/2014,3.25,93.8046,15.34,3.71,3.91,18.71,-0.5426,1.71,2.28,0.03,16.11,4.24,1.3824,1830.61
4/15/2014,3.25,93.9486,16.1,3.71,3.91,18.71,-0.5426,1.68,2.25,0.03,15.61,4.24,1.3806,1842.98
4/16/2014,3.25,93.9461,15.44,3.71,3.91,18.9,-0.5426,1.73,2.26,0.03,14.18,4.24,1.382,1862.31
4/17/2014,3.25,93.8936,15.96,3.71,3.91,18.93,-0.5426,1.95,2.3,0.03,13.36,4.24,1.3832,1864.85
4/21/2014,3.25,94.0337,16.22,3.71,3.91,18.28,-0.6643,1.97,2.31,0.03,13.25,4.24,1.379,1871.89
4/22/2014,3.25,94.0802,16.19,3.71,3.91,18.81,-0.6643,1.98,2.28,0.03,13.19,4.24,1.3804,1879.55
4/23/2014,3.25,94.149,15.61,3.71,3.91,18.46,-0.6643,1.98,2.27,0.03,13.27,4.24,1.3814,1875.39
4/24/2014,3.25,94.1294,15.86,3.71,3.91,18.36,-0.6643,1.99,2.27,0.03,13.32,4.24,1.3828,1878.61
4/25/2014,3.25,94.1623,16.07,3.71,3.91,18.88,-0.7793,1.96,2.25,0.03,14.06,4.24,1.3838,1863.4
4/28/2014,3.25,94.1374,15.56,3.71,3.91,19.14,-0.7793,1.95,2.26,0.03,13.97,4.24,1.3844,1869.43
4/29/2014,3.25,94.0295,15.31,3.71,3.91,19.19,-0.7793,1.95,2.27,0.03,13.71,4.24,1.3808,1878.33
4/30/2014,3.25,93.8896,15.52,3.71,3.91,19.37,-0.7793,1.96,2.25,0.03,13.41,4.24,1.387,1883.95
05-01-2014,3.25,93.8707,15.15,3.57,3.76,18.44,-0.7793,1.96,2.22,0.03,13.25,4.16,1.3867,1883.68
05-02-2014,3.25,93.8182,14.85,3.57,3.76,17.8,-0.7005,1.95,2.18,0.03,12.91,4.16,1.3864,1881.14
05-05-2014,3.25,93.7334,15.51,3.57,3.76,18.55,-0.7005,1.92,2.2,0.03,13.29,4.16,1.3884,1884.66
05-06-2014,3.25,93.4324,15.02,3.57,3.76,17.96,-0.7005,1.91,2.18,0.03,13.8,4.16,1.3924,1867.72
05-07-2014,3.25,93.4337,15.4,3.57,3.76,17.71,-0.7005,1.92,2.21,0.03,13.4,4.16,1.3917,1878.21
05-08-2014,3.25,93.3686,14.87,3.57,3.76,17.49,-0.7005,1.93,2.21,0.03,13.43,4.16,1.3864,1875.63
05-09-2014,3.25,93.6614,14.76,3.57,3.76,17,-0.6937,1.92,2.22,0.03,12.92,4.16,1.3763,1878.48
05-12-2014,3.25,93.6537,14.04,3.57,3.76,16.65,-0.6937,1.91,2.25,0.03,12.23,4.16,1.376,1896.65
5/13/2014,3.25,93.6755,13.61,3.57,3.76,16.86,-0.6937,1.89,2.22,0.03,12.13,4.16,1.3711,1897.45
5/14/2014,3.25,93.5968,13.76,3.57,3.76,16.72,-0.6937,1.92,2.15,0.03,12.17,4.16,1.3718,1888.53
5/15/2014,3.25,93.7065,14.57,3.57,3.76,15.94,-0.6937,1.96,2.12,0.03,13.17,4.16,1.3712,1870.85
5/16/2014,3.25,93.6073,14.04,3.57,3.76,15.42,-0.7376,1.94,2.14,0.03,12.44,4.16,1.3708,1877.86
5/19/2014,3.25,93.502,14.23,3.57,3.76,15.9,-0.7376,1.93,2.18,0.03,12.42,4.16,1.3716,1885.08
5/20/2014,3.25,93.6699,14.07,3.57,3.76,16.2,-0.7376,1.92,2.17,0.03,12.96,4.16,1.3702,1872.83
5/21/2014,3.25,93.7629,14.36,3.57,3.76,16.38,-0.7376,1.95,2.17,0.03,11.91,4.16,1.3657,1888.03
5/22/2014,3.25,93.6944,13.98,3.57,3.76,16.05,-0.7376,1.97,2.19,0.03,12.03,4.16,1.3652,1892.49
5/23/2014,3.25,93.7042,14.52,3.57,3.76,15.89,-0.7481,1.97,2.17,0.03,11.36,4.16,1.3628,1900.53
5/27/2014,3.25,93.8418,16.21,3.57,3.76,16.1,-0.7481,1.95,2.13,0.03,11.51,4.16,1.3618,1911.91
5/28/2014,3.25,93.8793,15.8,3.57,3.76,16.02,-0.7481,1.94,2.07,0.03,11.68,4.16,1.3596,1909.78
5/29/2014,3.25,93.6973,15.01,3.57,3.76,15.55,-0.7481,1.96,2.08,0.03,11.57,4.16,1.3608,1920.03
5/30/2014,3.25,93.7606,15.34,3.57,3.76,15.61,-0.7908,1.93,2.11,0.03,11.4,4.16,1.364,1923.57
06-02-2014,3.25,94.0006,15.55,3.6,3.79,15.52,-0.7908,1.93,2.15,0.04,11.58,4.25,1.3606,1924.97
06-03-2014,3.25,94.0536,15.05,3.6,3.79,15.53,-0.7908,1.92,2.19,0.04,11.87,4.25,1.3624,1924.24
06-04-2014,3.25,94.1239,14.79,3.6,3.79,15.41,-0.7908,1.9,2.2,0.04,12.08,4.25,1.3619,1927.88
06-05-2014,3.25,93.9732,14.15,3.6,3.79,15.14,-0.7908,1.92,2.19,0.04,11.68,4.25,1.3618,1940.46
06-06-2014,3.25,93.9069,13.22,3.6,3.79,14.5,-0.8525,1.93,2.19,0.04,10.73,4.25,1.3639,1949.44
06-09-2014,3.25,93.9628,12.77,3.6,3.79,14.67,-0.8525,1.95,2.19,0.04,11.15,4.25,1.3589,1951.27
06-10-2014,3.25,94.0638,12.37,3.6,3.79,14.74,-0.8525,1.94,2.19,0.04,10.99,4.25,1.3543,1950.79
06-11-2014,3.25,93.9744,12.36,3.6,3.79,14.67,-0.8525,1.94,2.21,0.04,11.6,4.25,1.3532,1943.89
06-12-2014,3.25,93.8155,12.91,3.6,3.79,19.17,-0.8525,1.95,2.16,0.04,12.56,4.25,1.3556,1930.11
6/13/2014,3.25,93.9168,12.52,3.6,3.79,19.47,-0.8513,1.93,2.15,0.04,12.18,4.25,1.3522,1936.16
6/16/2014,3.25,93.8639,12.41,3.6,3.79,19.52,-0.8513,1.92,2.12,0.04,12.65,4.25,1.3578,1937.78
6/17/2014,3.25,94.0829,12.53,3.6,3.79,17.4,-0.8513,1.97,2.15,0.04,12.06,4.25,1.3543,1941.99
6/18/2014,3.25,94.0525,12.11,3.6,3.79,17.28,-0.8513,1.98,2.13,0.04,10.61,4.25,1.3567,1956.98
6/19/2014,3.25,93.752,14.48,3.6,3.79,18.05,-0.8513,2.02,2.16,0.04,10.62,4.25,1.362,1959.48
6/20/2014,3.25,93.7591,12.79,3.6,3.79,18.84,-0.8735,2.02,2.13,0.04,10.85,4.25,1.3586,1962.87
6/23/2014,3.25,93.628,12.93,3.6,3.79,18.05,-0.8735,2.03,2.15,0.04,10.98,4.25,1.3593,1962.61
6/24/2014,3.25,93.7093,12.96,3.6,3.79,17.93,-0.8735,2.05,2.1,0.04,12.13,4.25,1.3588,1949.98
6/25/2014,3.25,93.5851,12.92,3.6,3.79,17.7,-0.8735,2.03,2.09,0.04,11.59,4.25,1.3638,1959.53
6/26/2014,3.25,93.5471,12.76,3.6,3.79,16.97,-0.8735,2.02,2.07,0.04,11.63,4.25,1.361,1957.22
6/27/2014,3.25,93.3983,12.64,3.6,3.79,16.44,-0.8212,2.03,2.09,0.04,11.26,4.25,1.3631,1960.96
6/30/2014,3.25,93.2058,14.01,3.6,3.79,16.52,-0.8212,2,2.06,0.04,11.57,4.25,1.369,1960.23
07-01-2014,3.25,93.1365,13.74,3.53,3.71,16.24,-0.8212,2,2.11,0.03,11.15,4.16,1.3681,1973.32
07-02-2014,3.25,93.2478,13.89,3.53,3.71,15.87,-0.8212,2.01,2.15,0.03,10.82,4.16,1.3656,1974.62
07-03-2014,3.25,93.3149,12.99,3.53,3.71,15.59,-0.8212,2.03,2.13,0.03,10.32,4.16,1.361,1985.44
07-07-2014,3.25,93.3803,12.99,3.53,3.71,16.36,-0.8316,2.01,2.11,0.03,11.33,4.16,1.3604,1977.65
07-08-2014,3.25,93.323,12.83,3.53,3.71,16.31,-0.8316,1.99,2.07,0.03,11.98,4.16,1.3614,1963.71
07-09-2014,3.25,93.228,13.05,3.53,3.71,16.36,-0.8316,1.98,2.06,0.03,11.65,4.16,1.363,1972.83
07-10-2014,3.25,93.3152,12.91,3.53,3.71,16.46,-0.8316,2,2.09,0.03,12.59,4.16,1.36,1964.68
07-11-2014,3.25,93.4171,13.27,3.53,3.71,17.26,-0.7598,1.99,2.05,0.03,12.08,4.16,1.3598,1967.57
7/14/2014,3.25,93.4101,14.23,3.53,3.71,18.1,-0.7598,1.99,2.07,0.03,11.82,4.16,1.362,1977.1
7/15/2014,3.25,93.5796,14.73,3.53,3.71,17.96,-0.7598,1.96,2.07,0.03,11.96,4.16,1.3573,1973.28
7/16/2014,3.25,93.5991,14.67,3.53,3.71,16.88,-0.7598,1.95,2.05,0.03,11,4.16,1.353,1981.57
7/17/2014,3.25,93.6586,15.52,3.53,3.71,17.87,-0.7598,1.97,2,0.03,14.54,4.16,1.353,1958.12
7/18/2014,3.25,93.6608,14.35,3.53,3.71,17.39,-0.7121,1.96,1.99,0.03,12.06,4.16,1.3515,1978.22
7/21/2014,3.25,93.6069,14.69,3.53,3.71,16.97,-0.7121,1.97,1.98,0.03,12.81,4.16,1.3524,1973.63
7/22/2014,3.25,93.6306,14.62,3.53,3.71,17.1,-0.7121,1.93,1.99,0.03,12.24,4.16,1.347,1983.53
7/23/2014,3.25,93.5951,14.07,3.53,3.71,16.73,-0.7121,1.92,1.98,0.03,11.52,4.16,1.3462,1987.01
7/24/2014,3.25,93.6836,14.33,3.53,3.71,15.95,-0.7121,1.93,1.99,0.03,11.84,4.16,1.3468,1987.98
7/25/2014,3.25,93.8294,14.68,3.53,3.71,16.67,-0.7272,1.95,1.95,0.03,12.69,4.16,1.3431,1978.34
7/28/2014,3.25,93.83,14.55,3.53,3.71,16.37,-0.7272,1.95,1.96,0.03,12.56,4.16,1.344,1978.91
7/29/2014,3.25,94.0443,15.05,3.53,3.71,16.79,-0.7272,1.94,1.93,0.03,13.28,4.16,1.341,1969.95
7/30/2014,3.25,94.3473,14.85,3.53,3.71,17.11,-0.7272,1.96,2.01,0.03,13.33,4.16,1.3378,1970.07
7/31/2014,3.25,94.4467,15.46,3.53,3.71,18.78,-0.7272,1.97,2.05,0.03,16.95,4.16,1.339,1930.67
08-01-2014,3.25,94.4754,14.37,3.46,3.63,19.39,-0.6397,1.92,2.05,0.03,17.03,4.08,1.3436,1925.15
08-04-2014,3.25,94.448,14.17,3.46,3.63,18.92,-0.6397,1.9,2.04,0.03,15.12,4.08,1.3414,1938.99
08-05-2014,3.25,94.6754,14.76,3.46,3.63,19.1,-0.6397,1.9,2.02,0.03,16.87,4.08,1.3366,1920.21
08-06-2014,3.25,94.6092,14.51,3.46,3.63,18.81,-0.6397,1.9,2.01,0.03,16.37,4.08,1.3355,1920.24
08-07-2014,3.25,94.6364,14.82,3.46,3.63,18.85,-0.6397,1.89,1.99,0.03,16.66,4.08,1.3362,1909.57
08-08-2014,3.25,94.6027,14.85,3.46,3.63,18.88,-0.4667,1.86,1.99,0.03,15.77,4.08,1.3412,1931.59
08-11-2014,3.25,94.4767,14.49,3.46,3.63,17.54,-0.4667,1.86,1.97,0.03,14.23,4.08,1.3385,1936.92
08-12-2014,3.25,94.5211,14.35,3.46,3.63,17.55,-0.4667,1.87,2.01,0.03,14.13,4.08,1.3357,1933.75
8/13/2014,3.25,94.4681,13.53,3.46,3.63,17.19,-0.4667,1.88,2,0.03,12.9,4.08,1.3367,1946.72
8/14/2014,3.25,94.3508,12.55,3.46,3.63,17.86,-0.4667,1.84,1.98,0.03,12.42,4.08,1.3376,1955.18
8/15/2014,3.25,94.2941,13.33,3.46,3.63,18.59,-0.6999,1.83,1.92,0.03,13.15,4.08,1.3392,1955.06
8/18/2014,3.25,94.2519,13.46,3.46,3.63,19.52,-0.6999,1.85,1.95,0.03,12.32,4.08,1.3358,1971.74
8/19/2014,3.25,94.4356,13.43,3.46,3.63,19.38,-0.6999,1.81,1.94,0.03,12.21,4.08,1.332,1981.6
8/20/2014,3.25,94.5937,13.51,3.46,3.63,17.96,-0.6999,1.83,1.94,0.03,11.78,4.08,1.3284,1986.51
8/21/2014,3.25,94.673,13.84,3.46,3.63,17.25,-0.6999,1.8,1.92,0.03,11.76,4.08,1.3284,1992.37
8/22/2014,3.25,94.8012,13.46,3.46,3.63,16.51,-0.7676,1.79,1.87,0.03,11.47,4.08,1.3237,1988.4
8/25/2014,3.25,94.9159,13.55,3.46,3.63,16.92,-0.7676,1.78,1.86,0.03,11.7,4.08,1.3206,1997.92
8/26/2014,3.25,94.8617,13.24,3.46,3.63,16.68,-0.7676,1.83,1.87,0.03,11.63,4.08,1.3189,2000.02
