DATE,Actual,Prediction
2018-08-16,2840.69,2834.348892
2018-08-17,2850.13,2841.498613
2018-08-20,2857.05,2852.329966
2018-08-21,2862.96,2872.044746
2018-08-22,2861.82,2852.524856
2018-08-23,2856.98,2859.879595
2018-08-24,2874.69,2865.279705
2018-08-27,2896.74,2905.017808
2018-08-28,2897.52,2908.752716
2018-08-29,2914.04,2923.057563
2018-08-30,2901.13,2888.117118
2018-08-31,2901.52,2915.14824
2018-09-04,2896.72,2895.382463
2018-09-05,2888.6,2875.722625
2018-09-06,2878.05,2869.188914
2018-09-07,2871.68,2882.45091
2018-09-10,2877.13,2874.376046
2018-09-11,2887.89,2883.576532
2018-09-12,2888.92,2885.597174
2018-09-13,2904.18,2916.637954
2018-09-14,2904.98,2906.880726
2018-09-17,2888.8,2890.611027
2018-09-18,2904.31,2912.878732
2018-09-19,2907.95,2904.691818
2018-09-20,2930.75,2923.23577
2018-09-21,2929.67,2931.382598
2018-09-24,2919.37,2913.948822
2018-09-25,2915.56,2922.216783
2018-09-26,2905.97,2907.976785
2018-09-27,2914,2906.598452
2018-09-28,2913.98,2913.234677
2018-10-01,2924.59,2913.693845
2018-10-02,2923.43,2937.517882
2018-10-03,2925.51,2929.986328
2018-10-04,2901.61,2915.552625
2018-10-05,2885.57,2873.934595
2018-10-09,2880.34,2882.783477
2018-10-10,2785.68,2788.948085
2018-10-11,2728.37,2723.126274
2018-10-12,2767.13,2775.944435
2018-10-15,2750.79,2745.50486
2018-10-16,2809.92,2806.780144
2018-10-17,2809.21,2802.076755
2018-10-18,2768.78,2776.186506
2018-10-19,2767.78,2769.588468
2018-10-22,2755.88,2762.826646
2018-10-23,2740.69,2728.82754
2018-10-24,2656.1,2653.005994
2018-10-25,2705.57,2704.579135
2018-10-26,2658.69,2665.822349
2018-10-29,2641.25,2631.180886
2018-10-30,2682.63,2682.874447
2018-10-31,2711.74,2722.678695
2018-11-01,2740.37,2751.713788
2018-11-02,2723.06,2733.53374
2018-11-05,2738.31,2747.962019
2018-11-06,2755.45,2757.083228
2018-11-07,2813.89,2806.438094
2018-11-08,2806.83,2818.822201
2018-11-09,2781.01,2778.087623
2018-11-13,2722.18,2725.155131
2018-11-14,2701.58,2700.673542
2018-11-15,2730.2,2734.114024
2018-11-16,2736.27,2734.579883
2018-11-19,2690.73,2689.504779
2018-11-20,2641.89,2644.284544
2018-11-21,2649.93,2658.065897
2018-11-23,2632.56,2642.191159
2018-11-26,2673.45,2683.967001
2018-11-27,2682.17,2692.061722
2018-11-28,2743.79,2730.64947
2018-11-29,2737.76,2732.414942
2018-11-30,2760.17,2759.502737
2018-12-03,2790.37,2796.717606
2018-12-04,2700.06,2705.603628
2018-12-06,2695.95,2702.29939
2018-12-07,2633.08,2640.003764
2018-12-10,2637.72,2634.145841
2018-12-11,2636.78,2632.110061
2018-12-12,2651.07,2643.725008
2018-12-13,2650.54,2662.129953
2018-12-14,2599.95,2595.828984
2018-12-17,2545.94,2546.054861
2018-12-18,2546.16,2533.980829
2018-12-19,2506.96,2506.133436
2018-12-20,2467.42,2460.491135
2018-12-21,2416.62,2420.865939
2018-12-26,2467.7,2477.51734
2018-12-27,2488.83,2489.953323
2018-12-28,2485.74,2479.44744
2018-12-31,2506.85,2506.399154
2019-01-02,2510.03,2507.368394
2019-01-03,2447.89,2440.681545
2019-01-04,2531.94,2520.516094
2019-01-07,2549.69,2544.666724
2019-01-08,2574.41,2577.31803
2019-01-09,2584.96,2590.423152
2019-01-10,2596.64,2596.751894
2019-01-11,2596.26,2608.605723
2019-01-15,2610.3,2597.589015
2019-01-16,2616.1,2606.383903
2019-01-17,2635.96,2639.641318
2019-01-18,2670.71,2665.950078
2019-01-22,2632.9,2637.288637
2019-01-23,2638.7,2650.691723
2019-01-24,2642.33,2630.89468
2019-01-25,2664.76,2652.66167
2019-01-28,2643.85,2652.680973
2019-01-29,2640,2638.130672
2019-01-30,2681.05,2689.096809
2019-01-31,2704.1,2697.138215
2019-02-01,2706.53,2719.724141
2019-02-04,2724.87,2735.762011
2019-02-05,2737.7,2737.788774
2019-02-06,2731.61,2721.971876
2019-02-07,2706.05,2696.735711
2019-02-08,2707.88,2707.24415
2019-02-11,2709.8,2696.465799
2019-02-12,2744.73,2735.101551
2019-02-13,2753.03,2741.869662
2019-02-14,2745.73,2755.776138
2019-02-15,2775.6,2782.594158
2019-02-19,2779.76,2772.916007
2019-02-21,2774.88,2769.996135
2019-02-22,2792.67,2791.392684
2019-02-25,2796.11,2790.203709
2019-02-26,2793.9,2790.839898
2019-02-27,2792.38,2804.035129
2019-02-28,2784.49,2786.113488
2019-03-01,2803.69,2796.611796
2019-03-04,2792.81,2806.647659
2019-03-05,2789.65,2793.014032
2019-03-06,2771.45,2773.8899
2019-03-07,2748.93,2751.444353
2019-03-08,2743.07,2738.649873
2019-03-11,2783.3,2776.329906
2019-03-12,2791.52,2784.839395
2019-03-13,2810.92,2818.656649
2019-03-14,2808.48,2803.623134
2019-03-15,2822.48,2828.117749
2019-03-18,2832.94,2832.965481
2019-03-19,2832.57,2828.994624
2019-03-20,2824.23,2828.079136
2019-03-21,2854.88,2848.431583
2019-03-22,2800.71,2806.887785
2019-03-25,2798.36,2786.053869
2019-03-26,2818.46,2813.157676
2019-03-27,2805.37,2818.557277
2019-03-28,2815.44,2801.717242
2019-03-29,2834.4,2824.812178
2019-04-01,2867.19,2862.009653
2019-04-02,2867.24,2877.542128
2019-04-03,2873.4,2886.402329
2019-04-04,2879.39,2888.48917
2019-04-05,2892.74,2906.540974
2019-04-08,2895.77,2909.688992
2019-04-09,2878.2,2889.564396
2019-04-10,2888.21,2898.317047
2019-04-11,2888.32,2901.693391
2019-04-12,2907.41,2919.90054
2019-04-15,2905.58,2914.232793
2019-04-16,2907.06,2920.190615
2019-04-17,2900.45,2887.823618
2019-04-18,2905.03,2904.606369
2019-04-22,2907.97,2909.082322
2019-04-23,2933.68,2945.297131
